question_id,done_by_tnhl
65dc6a0ef76fc06aa10950ea,119
677df0506b46863932093773,317
677df364bedf5812c709632a,317
677df86bf5dbf9121d079dd3,316
677df9c3eb38480949038f4c,315
677dfa31eb38480949038f59,314
677dfe460cf744289901f1d2,313
677dfeb5d7f09718e7043fcf,313
677dff66d7f09718e7043ff5,314
677e01c7d5358ab4370cc87f,315
677e0287a0fd9bdaad063d9b,315
677e04109d1a527e840b5564,315
677e1d27f3786e3fc2079f04,314
677e25ce55ca45b2ae0c6b94,221
677e2698cf7167052b0e8f5f,221
677e27142a017d6adc0b05c3,221
677e27ccd8cfc1f5be066c74,221
677e2baf3f673bcfd205b836,221
677e2c8970ae6ce87308cc85,220
677e2f2fd40c5fba11032f97,220
677e30382e9bbf217103eac7,220
677e34166650105a0909c90e,220
677e35126d52d1647c056b2d,220
677e3841aac82a5921080790,220
677e38a75da749f09e04eef9,220
677e42176d52d1647c056c20,128
677e4ee8ae057d844506bb10,128
677f3aa2937fdb841000a18a,128
677f3b6780922268fc07c4b7,128
677f3e60b99539b6f3028694,128
677f4096a23820708c0ef779,128
677f411dcbc45bedae07377f,128
677f41bacbc45bedae073799,128
677f42312cc31273a206fced,128
677f45507435b37b8b04d833,128
6784bc9e6d89944e6d0656e8,143
6784bceecf6122d3600f9a77,143
6784bd351c360bca9e0dcfee,143
6784bd92cf6122d3600f9a90,143
6784be820d5ff44e7d0bd07b,143
6784bfaad467e96b750c91f3,143
6784c06d924989539b073ba1,143
6784c8346216c6d8d1079e85,143
6784c87f5b2af8b06c006784,143
6784c8bf363b0b378f082f18,143
678729b571364a675b00b9c0,162
67872a5071364a675b00b9d3,162
67872b9b6d245233820512bc,162
67872fa0bc9017be49022e5e,162
6787309f02c7f49f680d897c,162
678731dc269969f47c0ce167,162
6787366dd8009dd203004a8b,162
67873b1a4b31138aba0c6acb,162
67873c2ee60321f18e0d9b98,162
67873d7b926bdf9bde0e0f7e,162
67873ddd66827cd82102be1c,162
67873f6de526956eb507078c,162
6788878bc87e0acc160dc316,285
678889e3e1f143a24a0262cd,285
67888aa40a3f395d7c0cedcb,285
67888d3140d9af85f207fe84,285
67888dbcc2f33d2948064639,285
67888e3dd3b771ef400986f3,285
67888eb8e8d245754e0c2f92,287
6788900cd3b771ef4009871d,287
67889090f0b6d7d74103bdf2,287
6788b3a3e06cd19c270eb1dd,267
6788b7a2f897e9d1270aa96f,267
6788bb3ba22df8de62089727,267
6788be2eeb7a4e3126035a86,267
6788bf3d6486ee6e7606acb7,267
6788d819b186c181960d64aa,287
6789c4b768f836ffc10617c2,287
6789d10755be1f6fd200f951,285
678a0a5281d06cdaa804f71f,267
678a0da4b1a9479b5a036584,267
678a1cbf013304f9f60275ac,267
678b61e23cee25c5a70bf274,267
678b645eb79469765505ca55,267
678b694925ef3c62310a25bb,267
678b6cdd1b04f1589107c297,267
678f6c0667eb58bf8f088b77,285
678f7047694ee42cb705db3a,284
678f70afd77c72bfa201e89c,286
678f70f38ea8eea6ea028dd1,284
678f7172fe2f2c2a10011e4a,284
678f7229d2e8538d0f05cfb4,284
